	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2924	Oklahoma	US	12/31/2021	36.37004357	-95.60406759	17331	312		Rogers
2924	Oklahoma	US	01/01/2022	36.37004357	-95.60406759	17331	312		Rogers
2924	Oklahoma	US	01/02/2022	36.37004357	-95.60406759	17331	312		Rogers
2924	Oklahoma	US	01/03/2022	36.37004357	-95.60406759	17331	312		Rogers
2924	Oklahoma	US	01/04/2022	36.37004357	-95.60406759	17331	312		Rogers
2924	Oklahoma	US	01/05/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/06/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/07/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/08/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/09/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/10/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/11/2022	36.37004357	-95.60406759	18111	316		Rogers
2924	Oklahoma	US	01/12/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/13/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/14/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/15/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/16/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/17/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/18/2022	36.37004357	-95.60406759	18858	319		Rogers
2924	Oklahoma	US	01/19/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/20/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/21/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/22/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/23/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/24/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/25/2022	36.37004357	-95.60406759	20366	326		Rogers
2924	Oklahoma	US	01/26/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	01/27/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	01/28/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	01/29/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	01/30/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	01/31/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	02/01/2022	36.37004357	-95.60406759	22295	327		Rogers
2924	Oklahoma	US	02/02/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/03/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/04/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/05/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/06/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/07/2022	36.37004357	-95.60406759	24139	336		Rogers
2924	Oklahoma	US	02/08/2022	36.37004357	-95.60406759	24139	336		Rogers
2925	Oklahoma	US	02/09/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/10/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/11/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/12/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/13/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/14/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/15/2022	36.37004357	-95.60406759	24735	339		Rogers
2925	Oklahoma	US	02/16/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/17/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/18/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/19/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/20/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/21/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/22/2022	36.37004357	-95.60406759	24986	344		Rogers
2925	Oklahoma	US	02/23/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	02/24/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	02/25/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	02/26/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	02/27/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	02/28/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	03/01/2022	36.37004357	-95.60406759	25091	354		Rogers
2925	Oklahoma	US	03/02/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/03/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/04/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/05/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/06/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/07/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/08/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/09/2022	36.37004357	-95.60406759	25193	363		Rogers
2925	Oklahoma	US	03/10/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/11/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/12/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/13/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/14/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/15/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/16/2022	36.37004357	-95.60406759	25271	373		Rogers
2925	Oklahoma	US	03/17/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/18/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/19/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/20/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/21/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/22/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/23/2022	36.37004357	-95.60406759	25291	377		Rogers
2925	Oklahoma	US	03/24/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/25/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/26/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/27/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/28/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/29/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/30/2022	36.37004357	-95.60406759	25306	377		Rogers
2925	Oklahoma	US	03/31/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/01/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/02/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/03/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/04/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/05/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/06/2022	36.37004357	-95.60406759	25363	379		Rogers
2925	Oklahoma	US	04/07/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/08/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/09/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/10/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/11/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/12/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/13/2022	36.37004357	-95.60406759	25386	381		Rogers
2925	Oklahoma	US	04/14/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/15/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/16/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/17/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/18/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/19/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/20/2022	36.37004357	-95.60406759	25387	383		Rogers
2925	Oklahoma	US	04/21/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/22/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/23/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/24/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/25/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/26/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/27/2022	36.37004357	-95.60406759	25406	383		Rogers
2925	Oklahoma	US	04/28/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	04/29/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	04/30/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	05/01/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	05/02/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	05/03/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	05/04/2022	36.37004357	-95.60406759	25427	385		Rogers
2925	Oklahoma	US	05/05/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/06/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/07/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/08/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/09/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/10/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/11/2022	36.37004357	-95.60406759	25435	387		Rogers
2925	Oklahoma	US	05/12/2022	36.37004357	-95.60406759	25476	389		Rogers
2925	Oklahoma	US	05/13/2022	36.37004357	-95.60406759	25476	389		Rogers
2925	Oklahoma	US	05/14/2022	36.37004357	-95.60406759	25476	389		Rogers
2926	Oklahoma	US	05/15/2022	36.37004357	-95.60406759	25476	389		Rogers
2926	Oklahoma	US	05/16/2022	36.37004357	-95.60406759	25476	389		Rogers
2926	Oklahoma	US	05/17/2022	36.37004357	-95.60406759	25476	389		Rogers
2926	Oklahoma	US	05/18/2022	36.37004357	-95.60406759	25476	389		Rogers
2926	Oklahoma	US	05/19/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/20/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/21/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/22/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/23/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/24/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/25/2022	36.37004357	-95.60406759	25508	390		Rogers
2926	Oklahoma	US	05/26/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	05/27/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	05/28/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	05/29/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	05/30/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	05/31/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	06/01/2022	36.37004357	-95.60406759	25584	390		Rogers
2926	Oklahoma	US	06/02/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/03/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/04/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/05/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/06/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/07/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/08/2022	36.37004357	-95.60406759	25666	390		Rogers
2926	Oklahoma	US	06/09/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/10/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/11/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/12/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/13/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/14/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/15/2022	36.37004357	-95.60406759	25757	390		Rogers
2926	Oklahoma	US	06/16/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/17/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/18/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/19/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/20/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/21/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/22/2022	36.37004357	-95.60406759	25887	390		Rogers
2926	Oklahoma	US	06/23/2022	36.37004357	-95.60406759	26028	389		Rogers
2926	Oklahoma	US	06/24/2022	36.37004357	-95.60406759	26028	389		Rogers
2926	Oklahoma	US	06/25/2022	36.37004357	-95.60406759	26028	389		Rogers
